Algorithm,Level,Status,Time (s),Metric Type,Metric Value
A* (Fast Distance),Level 4,SUCCESS,0.0053,Solution Length,4
A* (Exact Distance),Level 4,Memory,0.0028,Max Stored Nodes,76
A* (Exact Distance),Level 4,Branching,0.0028,Avg Branching,6.0
A* (Exact Distance),Level 4,Branching,0.0028,Max Branching,10
A* (Exact Distance),Level 4,SUCCESS,0.0028,Nodes Expanded,7
A* (Exact Distance),Level 4,SUCCESS,0.0028,Solution Length,4
A* (Satisficing),Level 4,Memory,0.0030,Max Stored Nodes,76
A* (Satisficing),Level 4,Branching,0.0030,Avg Branching,6.0
A* (Satisficing),Level 4,Branching,0.0030,Max Branching,10
A* (Satisficing),Level 4,SUCCESS,0.0030,Nodes Expanded,7
A* (Satisficing),Level 4,SUCCESS,0.0030,Solution Length,4
Fast Downward,Level 4,Metrics,0.1766,Nodes Expanded,6406
Fast Downward,Level 4,Branching,0.1766,Avg Branching,3.4414611301904463
Fast Downward,Level 4,SUCCESS,0.1766,Solution Length,26
LAMA First,Level 4,Metrics,0.6061,Nodes Expanded,14093
LAMA First,Level 4,Branching,0.6061,Avg Branching,3.4321294259561483
LAMA First,Level 4,SUCCESS,0.6061,Solution Length,26
A* (Manhattan),Level 5,Memory,0.0316,Max Stored Nodes,673
A* (Manhattan),Level 5,Branching,0.0316,Avg Branching,8.442857142857143
A* (Manhattan),Level 5,Branching,0.0316,Max Branching,15
A* (Manhattan),Level 5,SUCCESS,0.0316,Nodes Expanded,70
A* (Manhattan),Level 5,SUCCESS,0.0316,Solution Length,14
A* (Real Maze),Level 5,Memory,0.0235,Max Stored Nodes,673
A* (Real Maze),Level 5,Branching,0.0235,Avg Branching,8.442857142857143
A* (Real Maze),Level 5,Branching,0.0235,Max Branching,15
A* (Real Maze),Level 5,SUCCESS,0.0235,Nodes Expanded,70
A* (Real Maze),Level 5,SUCCESS,0.0235,Solution Length,14
A* (New Real Maze),Level 5,Memory,0.0139,Max Stored Nodes,207
A* (New Real Maze),Level 5,Branching,0.0139,Avg Branching,7.9375
A* (New Real Maze),Level 5,Branching,0.0139,Max Branching,11
A* (New Real Maze),Level 5,SUCCESS,0.0139,Nodes Expanded,16
A* (New Real Maze),Level 5,SUCCESS,0.0139,Solution Length,12
A* (Hungarian),Level 5,Memory,0.0077,Max Stored Nodes,207
A* (Hungarian),Level 5,Branching,0.0077,Avg Branching,7.9375
A* (Hungarian),Level 5,Branching,0.0077,Max Branching,11
A* (Hungarian),Level 5,SUCCESS,0.0077,Nodes Expanded,16
A* (Hungarian),Level 5,SUCCESS,0.0077,Solution Length,12
A* (Fast Distance),Level 5,Memory,0.0231,Max Stored Nodes,673
A* (Fast Distance),Level 5,Branching,0.0231,Avg Branching,8.442857142857143
A* (Fast Distance),Level 5,Branching,0.0231,Max Branching,15
A* (Fast Distance),Level 5,SUCCESS,0.0231,Nodes Expanded,70
A* (Fast Distance),Level 5,SUCCESS,0.0231,Solution Length,14
A* (Exact Distance),Level 5,Memory,0.0070,Max Stored Nodes,207
A* (Exact Distance),Level 5,Branching,0.0070,Avg Branching,7.9375
A* (Exact Distance),Level 5,Branching,0.0070,Max Branching,11
A* (Exact Distance),Level 5,SUCCESS,0.0070,Nodes Expanded,16
A* (Exact Distance),Level 5,SUCCESS,0.0070,Solution Length,12
A* (Satisficing),Level 5,Memory,0.0048,Max Stored Nodes,190
A* (Satisficing),Level 5,Branching,0.0048,Avg Branching,8.76923076923077
A* (Satisficing),Level 5,Branching,0.0048,Max Branching,13
A* (Satisficing),Level 5,SUCCESS,0.0048,Nodes Expanded,13
A* (Satisficing),Level 5,SUCCESS,0.0048,Solution Length,12
Fast Downward,Level 5,Metrics,0.3736,Nodes Expanded,24790
Fast Downward,Level 5,Branching,0.3736,Avg Branching,3.4974183138362243
Fast Downward,Level 5,SUCCESS,0.3736,Solution Length,33
LAMA First,Level 5,Metrics,0.5916,Nodes Expanded,3319
LAMA First,Level 5,Branching,0.5916,Avg Branching,3.602289846339259
LAMA First,Level 5,SUCCESS,0.5916,Solution Length,62
A* (Manhattan),Level 6,Memory,0.0027,Max Stored Nodes,136
A* (Manhattan),Level 6,Branching,0.0027,Avg Branching,10.714285714285714
A* (Manhattan),Level 6,Branching,0.0027,Max Branching,14
A* (Manhattan),Level 6,SUCCESS,0.0027,Nodes Expanded,7
A* (Manhattan),Level 6,SUCCESS,0.0027,Solution Length,4
A* (Real Maze),Level 6,Memory,0.0027,Max Stored Nodes,136
A* (Real Maze),Level 6,Branching,0.0027,Avg Branching,10.714285714285714
A* (Real Maze),Level 6,Branching,0.0027,Max Branching,14
A* (Real Maze),Level 6,SUCCESS,0.0027,Nodes Expanded,7
A* (Real Maze),Level 6,SUCCESS,0.0027,Solution Length,4
A* (New Real Maze),Level 6,Memory,0.0028,Max Stored Nodes,96
A* (New Real Maze),Level 6,Branching,0.0028,Avg Branching,10.4
A* (New Real Maze),Level 6,Branching,0.0028,Max Branching,14
A* (New Real Maze),Level 6,SUCCESS,0.0028,Nodes Expanded,5
A* (New Real Maze),Level 6,SUCCESS,0.0028,Solution Length,4
A* (Hungarian),Level 6,Memory,0.0023,Max Stored Nodes,96
A* (Hungarian),Level 6,Branching,0.0023,Avg Branching,10.4
A* (Hungarian),Level 6,Branching,0.0023,Max Branching,14
A* (Hungarian),Level 6,SUCCESS,0.0023,Nodes Expanded,5
A* (Hungarian),Level 6,SUCCESS,0.0023,Solution Length,4
A* (Fast Distance),Level 6,Memory,0.0082,Max Stored Nodes,136
A* (Fast Distance),Level 6,Branching,0.0082,Avg Branching,10.714285714285714
A* (Fast Distance),Level 6,Branching,0.0082,Max Branching,14
A* (Fast Distance),Level 6,SUCCESS,0.0082,Nodes Expanded,7
A* (Fast Distance),Level 6,SUCCESS,0.0082,Solution Length,4
A* (Exact Distance),Level 6,Memory,0.0073,Max Stored Nodes,90
A* (Exact Distance),Level 6,Branching,0.0073,Avg Branching,9.8
A* (Exact Distance),Level 6,Branching,0.0073,Max Branching,13
A* (Exact Distance),Level 6,SUCCESS,0.0073,Nodes Expanded,5
A* (Exact Distance),Level 6,SUCCESS,0.0073,Solution Length,4
A* (Satisficing),Level 6,Memory,0.0064,Max Stored Nodes,90
A* (Satisficing),Level 6,Branching,0.0064,Avg Branching,9.8
A* (Satisficing),Level 6,Branching,0.0064,Max Branching,13
A* (Satisficing),Level 6,SUCCESS,0.0064,Nodes Expanded,5
A* (Satisficing),Level 6,SUCCESS,0.0064,Solution Length,4
Fast Downward,Level 6,Metrics,0.1218,Nodes Expanded,63
Fast Downward,Level 6,Branching,0.1218,Avg Branching,3.5396825396825395
Fast Downward,Level 6,SUCCESS,0.1218,Solution Length,25
LAMA First,Level 6,Metrics,0.5129,Nodes Expanded,65
LAMA First,Level 6,Branching,0.5129,Avg Branching,3.5846153846153848
LAMA First,Level 6,SUCCESS,0.5129,Solution Length,25
A* (Manhattan),Level 7,Memory,0.0448,Max Stored Nodes,1497
A* (Manhattan),Level 7,Branching,0.0448,Avg Branching,10.959183673469388
